ensembl_id	name	chromosome	description	feature_type	strand	start	end
SPBC359.06	mug14	II	adducin [Source:PomBase;Acc:SPBC359.06]	protein_coding	1	128660	129742
SPAC5H10.01	SPAC5H10.01	I	DUF1445 family mitochondrial protein (predicted) [Source:PomBase;Acc:SPAC5H10.01]	protein_coding	1	146974	148055
SPCC16C4.16c	SPCC16C4.16c	III	conserved eukaryotic protein [Source:PomBase;Acc:SPCC16C4.16c]	protein_coding	-1	697422	698599
SPAC1705.02	SPAC1705.02	I	human 4F5S homolog [Source:PomBase;Acc:SPAC1705.02]	protein_coding	1	1568838	1569449
SPBP35G2.11c	SPBP35G2.11c	II	transcription related zf-ZZ type zinc finger protein [Source:PomBase;Acc:SPBP35G2.11c]	protein_coding	-1	986383	988594
SPCC777.12c	SPCC777.12c	III	thioredoxin family protein [Source:PomBase;Acc:SPCC777.12c]	protein_coding	-1	1616592	1618210
SPAC7D4.05	SPAC7D4.05	I	hydrolase (predicted) [Source:PomBase;Acc:SPAC7D4.05]	protein_coding	-1	2628635	2630262
SPACUNK4.13c	SPACUNK4.13c	I	mitochondrial NTPase Ylf2 (predicted) [Source:PomBase;Acc:SPACUNK4.13c]	protein_coding	1	2885222	2886782
SPAC26A3.11	SPAC26A3.11	I	omega-amidase (predicted) [Source:PomBase;Acc:SPAC26A3.11]	protein_coding	1	3356375	3357902
SPBC29A10.12	SPBC29A10.12	II	DUF1014 family protein, HMG-box clan member [Source:PomBase;Acc:SPBC29A10.12]	protein_coding	1	2566213	2567353
SPAC694.04c	SPAC694.04c	I	conserved eukaryotic protein [Source:PomBase;Acc:SPAC694.04c]	protein_coding	-1	4206693	4208253
SPCC1259.02c	erm1	III	Endoplasmic Reticulum metallopeptidase Erm1 (predicted) [Source:PomBase;Acc:SPCC1259.02c]	protein_coding	-1	1034065	1037848
SPAC20G4.05c	SPAC20G4.05c	I	UPF0061 family mitochondrial protein (predicted) [Source:PomBase;Acc:SPAC20G4.05c]	protein_coding	-1	4822869	4824867
SPAC19B12.07c	SPAC19B12.07c	I	human ZNF277 ortholog [Source:PomBase;Acc:SPAC19B12.07c]	protein_coding	-1	4895458	4897099
SPCC584.14	mug160	III	human ATXN10 ortholog [Source:PomBase;Acc:SPCC584.14]	protein_coding	1	1518448	1520391
SPBC1778.07	SPBC1778.07	II	methyltransferase N2227 family [Source:PomBase;Acc:SPBC1778.07]	protein_coding	1	3109892	3111270
SPBC20F10.02c	SPBC20F10.02c	II	DUF1741 family protein [Source:PomBase;Acc:SPBC20F10.02c]	protein_coding	-1	3284436	3286488
SPAC29B12.11c	SPAC29B12.11c	I	human WW domain binding protein-2 ortholog [Source:PomBase;Acc:SPAC29B12.11c]	protein_coding	-1	5435872	5437295
SPAC186.05c	SPAC186.05c	I	human TMEM165 homolog, implicated in calcium transport [Source:PomBase;Acc:SPAC186.05c]	protein_coding	-1	5540032	5541502
SPBC21C3.03	SPBC21C3.03	II	ABC1 kinase family protein [Source:PomBase;Acc:SPBC21C3.03]	protein_coding	1	3801900	3804469
SPAC521.03	SPAC521.03	I	short chain dehydrogenase (predicted) [Source:PomBase;Acc:SPAC521.03]	protein_coding	1	844948	846142
SPAC23G3.12c	SPAC23G3.12c	I	serine protease (predicted) [Source:PomBase;Acc:SPAC23G3.12c]	protein_coding	-1	889058	892211
SPCP31B10.06	mug190	III	C2 domain protein [Source:PomBase;Acc:SPCP31B10.06]	protein_coding	1	532584	537202
SPAC23C4.06c	SPAC23C4.06c	I	methyltransferase, human Fam119 ortholog (predicted) [Source:PomBase;Acc:SPAC23C4.06c]	protein_coding	-1	1038515	1042027
SPBC1289.16c	cao2	II	copper amine oxidase-like protein Cao2 [Source:PomBase;Acc:SPBC1289.16c]	protein_coding	-1	4426157	4428785
SPAC10F6.14c	SPAC10F6.14c	I	ABC1 kinase family protein (predicted) [Source:PomBase;Acc:SPAC10F6.14c]	protein_coding	-1	1232262	1234076
SPAP11E10.01	SPAP11E10.01	I	ornithine cyclodeaminase family (predicted) [Source:PomBase;Acc:SPAP11E10.01]	protein_coding	1	1855318	1856904
SPCC1442.02	SPCC1442.02	III	central kinetochore associated family protein (predicted) [Source:PomBase;Acc:SPCC1442.02]	protein_coding	1	1768960	1771181
SPBC30B4.03c	adn1	II	adhesion defective protein [Source:PomBase;Acc:SPBC30B4.03c]	protein_coding	-1	1304274	1306121
SPBC8D2.16c	SPBC8D2.16c	II	DUF171 family protein [Source:PomBase;Acc:SPBC8D2.16c]	protein_coding	-1	1386312	1389186
SPAPB1A11.02	SPAPB1A11.02	I	esterase/lipase (predicted) [Source:PomBase;Acc:SPAPB1A11.02]	protein_coding	1	2980428	2981839
SPAC6G10.10c	SPAC6G10.10c	I	human hmmtag2 homolog [Source:PomBase;Acc:SPAC6G10.10c]	protein_coding	-1	3236179	3237503
SPAC3H5.08c	SPAC3H5.08c	I	WD repeat protein, human WDR44 family [Source:PomBase;Acc:SPAC3H5.08c]	protein_coding	1	3425873	3429364
SPCC4B3.11c	fra3	III	mitochondrial transcriptional repressor protein BolA domain (predicted) [Source:PomBase;Acc:SPCC4B3.11c]	protein_coding	1	1156111	1156556
SPBC21H7.03c	SPBC21H7.03c	II	acid phosphatase (predicted) [Source:PomBase;Acc:SPBC21H7.03c]	protein_coding	-1	2256557	2258458
SPBC16H5.13	SPBC16H5.13	II	WD repeat protein, human WDR7 ortholog [Source:PomBase;Acc:SPBC16H5.13]	protein_coding	-1	2269397	2273358
SPAC694.02	SPAC694.02	I	DEAD/DEAH box helicase [Source:PomBase;Acc:SPAC694.02]	protein_coding	1	4200148	4205612
SPBC1703.11	SPBC1703.11	II	optic atrophy 3 family protein [Source:PomBase;Acc:SPBC1703.11]	protein_coding	1	2934596	2936122
SPCC736.13	SPCC736.13	III	short chain dehydrogenase (predicted) [Source:PomBase;Acc:SPCC736.13]	protein_coding	-1	340648	342096
SPCP31B10.02	SPCP31B10.02	III	mitochondrial conserved eukaryotic protein (predicted) [Source:PomBase;Acc:SPCP31B10.02]	protein_coding	1	525361	525831
SPCC962.05	ast1	III	asteroid homolog, XP-G family protein [Source:PomBase;Acc:SPCC962.05]	protein_coding	1	553995	556291
SPAC3G6.05	SPAC3G6.05	I	mitochondrial Mpv17/PMP22 family protein 1 (predicted) [Source:PomBase;Acc:SPAC3G6.05]	protein_coding	1	5387884	5389677
SPCC16C4.02c	SPCC16C4.02c	III	DUF1941 family protein, human neurochondrin ortholog [Source:PomBase;Acc:SPCC16C4.02c]	protein_coding	-1	661446	664355
SPAC806.04c	SPAC806.04c	I	protein-glutamate O-methyltransferase (predicted) [Source:PomBase;Acc:SPAC806.04c]	protein_coding	-1	241008	243122
SPCC622.11	SPCC622.11	III	LMBR1-like membrane protein [Source:PomBase;Acc:SPCC622.11]	protein_coding	1	1417100	1419224
SPCC1620.03	mug163	III	conserved eukaryotic protein, mitochondrial [Source:PomBase;Acc:SPCC1620.03]	protein_coding	1	2148588	2151955
SPBC119.03	SPBC119.03	II	human COMT catechol O-methyltransferase homolog 1 [Source:PomBase;Acc:SPBC119.03]	protein_coding	1	717888	718991
SPBC119.16c	SPBC119.16c	II	conserved eukaryotic protein, implicated in vesicle-mediated transport [Source:PomBase;Acc:SPBC119.16c]	protein_coding	-1	745971	750738
SPBC577.03c	SPBC577.03c	II	GCN5-related N-acetyltransferase (predicted) [Source:PomBase;Acc:SPBC577.03c]	protein_coding	-1	754411	756616
SPBC530.09c	mrl1	II	cation dependent mannose-6-phosphate cargo receptor Mrl1 (predicted) [Source:PomBase;Acc:SPBC530.09c]	protein_coding	-1	809383	810978
SPAP27G11.12	SPAP27G11.12	I	human HID1 ortholog 1 [Source:PomBase;Acc:SPAP27G11.12]	protein_coding	1	1632068	1634832
SPCC5E4.10c	SPCC5E4.10c	III	human leukocyte receptor 1 ortholog [Source:PomBase;Acc:SPCC5E4.10c]	protein_coding	-1	650897	652710
SPCC16C4.01	sif2	III	Sad1 interacting factor 2 (predicted) [Source:PomBase;Acc:SPCC16C4.01]	protein_coding	1	658752	660714
SPAC17H9.06c	SPAC17H9.06c	I	conserved eukaryotic protein [Source:PomBase;Acc:SPAC17H9.06c]	protein_coding	-1	2014063	2016932
SPCC63.06	SPCC63.06	III	human WDR89 family WD repeat protein [Source:PomBase;Acc:SPCC63.06]	protein_coding	1	845924	847352
SPBC83.16c	SPBC83.16c	II	conserved eukaryotic protein [Source:PomBase;Acc:SPBC83.16c]	protein_coding	-1	1538636	1541448
SPAPB2B4.07	SPAPB2B4.07	I	ubiquitin family protein, human UBTD1 homolog [Source:PomBase;Acc:SPAPB2B4.07]	protein_coding	1	2724338	2725954
SPAC6F6.19	SPAC6F6.19	I	RNA-binding protein, G-patch type [Source:PomBase;Acc:SPAC6F6.19]	protein_coding	-1	2759155	2759709
SPAPB24D3.08c	SPAPB24D3.08c	I	NADP-dependent oxidoreductase (predicted) [Source:PomBase;Acc:SPAPB24D3.08c]	protein_coding	-1	2961073	2962670
SPAC3H5.13	new4	I	conserved eukaryotic protein [Source:PomBase;Acc:SPAC3H5.13]	protein_coding	1	3412527	3413053
SPAC3H5.09c	SPAC3H5.09c	I	conserved eukaryotic mitochondrial protein (predicted) [Source:PomBase;Acc:SPAC3H5.09c]	protein_coding	1	3416544	3425062
SPAC328.04	SPAC328.04	I	AAA family ATPase, unknown biological role [Source:PomBase;Acc:SPAC328.04]	protein_coding	1	3481505	3484605
SPBC14C8.19	tam10	II	small acidic protein (SMAP) domain containing protein [Source:PomBase;Acc:SPBC14C8.19]	protein_coding	-1	2218540	2219196
SPCC965.12	SPCC965.12	III	dipeptidyl peptidase (predicted) [Source:PomBase;Acc:SPCC965.12]	protein_coding	1	2305902	2307857
SPAC4H3.07c	rdl2	I	mitochondrial thiosulfate sulfurtransferase Rdl2 (predicted) [Source:PomBase;Acc:SPAC4H3.07c]	protein_coding	-1	3838660	3839443
SPBC3E7.07c	SPBC3E7.07c	II	DUF757 family protein [Source:PomBase;Acc:SPBC3E7.07c]	protein_coding	-1	2671877	2672919
SPCC1235.03	cue2	III	SMR domain protein, possibly involved in DNA repair and neddylation [Source:PomBase;Acc:SPCC1235.03]	protein_coding	1	178975	180813
SPCC4G3.17	hdd1	III	HD domain protein (predicted) [Source:PomBase;Acc:SPCC4G3.17]	protein_coding	-1	438715	439928
SPBC15D4.05	SPBC15D4.05	II	conserved CobW/HypB/UreG nucleotide binding domain protein (predicted) [Source:PomBase;Acc:SPBC15D4.05]	protein_coding	1	3020681	3022237
SPBC30D10.09c	SPBC30D10.09c	II	HVA22/TB2/DP1 family protein [Source:PomBase;Acc:SPBC30D10.09c]	protein_coding	1	3083317	3084348
SPAC19B12.01	SPAC19B12.01	I	TPR repeat protein, TTC27 family [Source:PomBase;Acc:SPAC19B12.01]	protein_coding	1	4875418	4878120
SPCC1393.13	SPCC1393.13	III	protein carboxyl methyltransferase, implicated in DNA damage response [Source:PomBase;Acc:SPCC1393.13]	protein_coding	1	824949	827652
SPCC550.07	SPCC550.07	III	acetamidase (predicted) [Source:PomBase;Acc:SPCC550.07]	protein_coding	1	1196729	1199999
SPBC543.02c	SPBC543.02c	II	DNAJ/TPR domain protein DNAJC7 family [Source:PomBase;Acc:SPBC543.02c]	protein_coding	-1	4300746	4302738
SPAC22A12.14c	SPAC22A12.14c	I	BSD domain protein, unknown biological role [Source:PomBase;Acc:SPAC22A12.14c]	protein_coding	-1	1180999	1182528
SPAC23C11.05	ipp1	I	inorganic pyrophosphatase Ipp1 (predicted) [Source:PomBase;Acc:SPAC23C11.05]	protein_coding	1	2140379	2141698
SPBC115.02c	afg1	II	AFG1 family mitochondrial ATPase Afg1 (predicted) [Source:PomBase;Acc:SPBC115.02c]	protein_coding	1	637370	639291
SPCC63.03	SPCC63.03	III	DNAJ domain protein, DNAJC11 family [Source:PomBase;Acc:SPCC63.03]	protein_coding	1	837458	840012
SPCC24B10.18	SPCC24B10.18	III	human Leydig cell tumor 10 kDa protein homolog [Source:PomBase;Acc:SPCC24B10.18]	protein_coding	1	931924	932847
SPCC895.09c	ucp12	III	ATP-dependent RNA helicase Ucp12 (predicted) [Source:PomBase;Acc:SPCC895.09c]	protein_coding	-1	1016696	1022436
SPAC4H3.04c	SPAC4H3.04c	I	UPF0103 family [Source:PomBase;Acc:SPAC4H3.04c]	protein_coding	-1	3830805	3832278
SPBC32H8.09	SPBC32H8.09	II	spindle pole body WD repeat protein, human WDR8 family [Source:PomBase;Acc:SPBC32H8.09]	protein_coding	1	1468486	1470473
SPCC1906.02c	cue3	III	CUE domain protein Cue3, human ASCC2 ortholog (predicted) [Source:PomBase;Acc:SPCC1906.02c]	protein_coding	-1	2014584	2016628
SPAC4F10.22	cmc4	I	mitochondrial intermembrane space protein involved in respiratory growth Cmc4 [Source:PomBase;Acc:SPAC4F10.22]	protein_coding	1	4878241	4878453
SPCC965.09	SPCC965.09	III	omega-amidase (predicted) [Source:PomBase;Acc:SPCC965.09]	protein_coding	1	2300543	2302268
SPAC1B3.10c	SPAC1B3.10c	I	SEL1 repeat protein, unknown biological role [Source:PomBase;Acc:SPAC1B3.10c]	protein_coding	-1	4946090	4948084
SPBP19A11.07c	SPBP19A11.07c	II	human HID1 ortholog 2 [Source:PomBase;Acc:SPBP19A11.07c]	protein_coding	-1	2868413	2871156
SPAC22F3.04	mug62	I	AMP binding enzyme (predicted) [Source:PomBase;Acc:SPAC22F3.04]	protein_coding	-1	697960	702533
